Card ID,Title,Current Page,Proposed Area,Action,Flags,Owner,Card Type,Dataset,Last Modified,Age Days,Has Description,Locked
3938401,'- Renewal Cash,College Sub KPIs,Revenue & Finance,Merge,No description; Duplicate title,Charles Cooper,kpi,PROD | Forecast Agg - 2026 - SLT,2026-04-01,77,No,No
4136107,Marketing Channel Attribution Vertical Agnostic,Marketing Channel Attribution Tables,Marketing,Review → Retire,Very stale (2+ yrs); No description,,kpi,PROD | Marketing Channels,2024-04-01,807,No,No
4718335,Gross Live Viewers,Vertical Performance,Audience & Traffic,Review → Keep or Retire,Stale (1+ yr); No description; Locked; Duplicate title,Matthew Murman,kpi,PROD | Monthly Live Viewership,2024-10-28,597,No,Yes
5515898,'- New Cash vs Forecast,College Sub KPIs,Revenue & Finance,Merge,No description; Duplicate title,Charles Cooper,kpi,PROD | Forecast Agg - 2026 - SLT,2026-04-01,77,No,No
5894210,Rankings Table,Article Benchmarking,Social & Editorial,Review → Keep or Retire,Stale (1+ yr); No description,Charles Cooper,kpi,PROD | Article Benchmarking,2024-07-02,715,No,No
6330566,Editorial Content Net Profit,WIP Editorial Revenue / Costs,Revenue & Finance,Retire,No description; Noise page,Matthew Williams,kpi,editorial content : revenue and costs agg,2026-06-16,1,No,No
7313580,Submission Frequency by Problem,JH Dash,Content & Viewership,Retire,Stale (1+ yr); No description; Duplicate title; Noise page,Justin Hoyman,kpi,PROD | Live Stream Feedback,2024-12-18,546,No,No
7346044,Pre-Funnel Visits Starting on Content Pages,Produced Content Funnel Analysis,Audience & Traffic,Review → Retire,Very stale (2+ yrs); No description,Charles Cooper,kpi,DEP |Content Funnel,2024-04-03,805,No,No
7933626,Email Campaigns - Position Based Signups and Cash,Email Marketing,Marketing,Merge,No description; Locked; Duplicate title,Matthew Murman,kpi,PROD | Marketing Channels,2026-04-30,48,No,Yes
8463081,4Q MS Goals,Favorites,Unmapped,Review → Keep or Retire,Stale (1+ yr); No description; Duplicate title,Charles Cooper,kpi,PROD | TEMP 4Q MS Goals,2024-11-20,574,No,No
8753513,Video Codec - Live,Live,Content & Viewership,Document,No description,Matthew Williams,kpi,Video Codec - Live Distribution,2025-06-25,357,No,No
9170824,Gross Viewers - 22-23 Season,2024 Hockey Performance,Unmapped,Review → Retire,Very stale (2+ yrs); No description,Charles Cooper,kpi,PROD | Event Agg,2024-04-17,791,No,No
9232726,Views YTD,Content Video Views,Content & Viewership,Review → Retire,Very stale (2+ yrs); No description; Duplicate title,Charles Cooper,kpi,PROD | Content Agg,2024-01-11,888,No,No
9633929,Active vs Inactive Subscriber Ratio,Subscriber Activity,Subscriber Health,Review → Keep or Retire,Stale (1+ yr); No description,,kpi,PROD | user activity agg,2025-04-21,422,No,No
9760562,"Matthew Murman's Notebook Apr 3, 2023",Event Deep Dive (SLT Deck),Executive,Review → Retire,Very stale (2+ yrs); No description; No dataset; Locked,Matthew Murman,Text,,2023-05-17,1127,No,Yes
10094463,Engagements,Exec Summary - Social Media,Social & Editorial,Review → Keep or Retire,Stale (1+ yr); No description; Duplicate title,Charles Cooper,kpi,RAW Sprout Social,2024-10-01,624,No,No
10897846,Pausing - Charges,Subscription Pausing,Subscriber Health,Document,No description,Matthew Murman,kpi,PROD | Payments,2025-09-10,280,No,No
11539406,Monthly -- Subscriber Retention,Weekly SLT Metrics - Price Change (Renewals) New,Subscriber Health,Merge,No description; Duplicate title,Charles Cooper,kpi,PROD | Pricing Changes Renewals,2026-03-05,104,No,No
11685542,"Charles Cooper's Notebook Feb 7, 2025",Ad Sales,Ad Sales,Review → Keep or Retire,Stale (1+ yr); No description; No dataset; Duplicate title,Charles Cooper,Text,,2025-02-14,488,No,No
11742385,Publish Count MTD,Content Video Views,Content & Viewership,Review → Retire,Very stale (2+ yrs); No description,Charles Cooper,kpi,PROD | Content Agg,2024-01-11,888,No,No
12974617,Aggregate Quota Attainment,DEP - 2023 RAQ Goal Attainment,Revenue & Finance,Retire,Very stale (2+ yrs); No description; Noise page,Daniel Everett,kpi,PROD | RAQ 2023 Quota Attainment,2023-05-22,1122,No,No
13826198,Gross Visits by Vertical - Marketing Channel,Orphan,Audience & Traffic,Retire,Very stale (2+ yrs); No description; Noise page; Orphan,Charles Cooper,kpi,PROD | Visits Web,2024-01-31,868,No,No
14852748,Cheer Net Payment,DEP - Varsity UK Data,Unmapped,Retire,Very stale (2+ yrs); No description; Noise page,Charles Cooper,kpi,PROD | Payments,2024-03-18,821,No,No
15064903,Duplicate of Reasons for Dissatisfaction with Live Coverage,Orphan,Unmapped,Retire,Noise page; Orphan,Charles Boehmig,kpi,FED | Qualtrics v2,2025-11-05,224,Yes,No
15080021,<-- Only Filters,Month End Reporting,Revenue & Finance,Review → Keep or Retire,Stale (1+ yr); No description; Locked,Matthew Murman,kpi,PROD | Netsuite - Forecasts vs Actuals,2024-10-28,597,No,Yes
15471320,Total Viewership FCST Heatmap,WIP - 2024 Landing Page,Content & Viewership,Retire,Very stale (2+ yrs); No description; Noise page,Charles Cooper,kpi,PROD | Event Agg Enumerated,2024-06-10,737,No,No
15681756,# of Impacted viewers - Breakdown by Accounts (Feeds only),Accounts Breakdown,Operations,Review → Keep or Retire,Stale (1+ yr),LJ Helbig,kpi,PROD | Salesforce Incidents,2024-11-05,589,Yes,No
16414858,Expected Signups - 3Q,Intra Month and Year Pacing,Acquisition & Funnel,Document,No description,Charles Cooper,kpi,PROD | 3Q SIGNUPS,2025-10-27,233,No,No
17075613,Event Comparison - Vertical Agg,DEP - Marketing Events,Marketing,Retire,Very stale (2+ yrs); No description; Noise page,,kpi,PROD | Event Agg,2023-10-11,980,No,No
17334783,VOD Duration Published by Year by Vertical,2024 VOD Value Explorer,Content & Viewership,Review → Keep or Retire,Stale (1+ yr); No description,,kpi,PROD | Content Agg,2025-04-21,422,No,No
17531669,GM Scorecard Vertical,GM Weekly Scorecard,Revenue & Finance,Document,No description,Matthew Williams,kpi,View of GM Scorecard Query,2026-01-20,148,No,No
17543056,Payments by Country Code,Shared,Unmapped,Triage,No description; Shared/root,Charles Cooper,kpi,PROD | Payments,2025-10-07,253,No,No
17546417,Full Year,2025 Content Goals,Content & Viewership,Review → Keep or Retire,Stale (1+ yr); No description; Duplicate title,Charles Cooper,kpi,PROD | 2025 Content Goals,2025-02-02,500,No,No
17860849,Programming - June,DEPRACATED - Programming,Content & Viewership,Retire,Stale (1+ yr); No description; Noise page,Charles Cooper,kpi,PROD |2024 Programming,2024-07-29,688,No,No
18827769,Duplicate of FloCheer Video Views - Running Total,DEP - Tour de France Traffic,Content & Viewership,Retire,No description; Noise page,,kpi,PROD | Content Agg,2025-07-28,324,No,No
18885801,PROD | Viewer Agg,Overview,Unmapped,Review → Keep or Retire,Stale (1+ yr); No description; Duplicate title,Charles Cooper,kpi,PROD | Viewer Agg,2024-12-03,561,No,No
19020044,Top Root Cause Category Details - SF Incidents - ERROR MINUTES,RC Breakdown - Error/Failed,Operations,Review → Keep or Retire,Stale (1+ yr); No description,LJ Helbig,kpi,PROD | Salesforce Incidents,2024-10-03,622,No,No
19061451,M1 Renewal Rate vs Forecast,DEP - Exec Dashboard - 2024,Subscriber Health,Retire,Stale (1+ yr); No description; Locked; Duplicate title; Noise page,Matthew Murman,kpi,PROD | Forecast Agg - 2024,2024-10-28,597,No,Yes
19768260,Photo Gallery -,MileSplit Unique Views by Page Types,Unmapped,Review → Retire,Very stale (2+ yrs); No description,Charles Cooper,kpi,DEP - Milesplit Daily Uniques by Event Type,2024-05-10,768,No,No
20068473,Impressions - Selected Time Period,Content KPIs - By Custom Date Range,Content & Viewership,Document,No description,Charles Cooper,kpi,RAW Sprout Social,2025-07-18,334,No,No
21337459,Post Metrics Leaderboard (Ordered by Publish Date),Total Viewership,Content & Viewership,Merge,No description; Duplicate title,Charles Cooper,kpi,Social Media Post Metrics,2025-08-07,314,No,No
21561229,FloTrack Rights Contracts - By Calendar Year,Charles C. Sandbox,Partnerships,Retire,No description; Noise page,Charles Cooper,kpi,PROD | Post Mortem Agg,2025-11-26,203,No,No
22327552,Current Season - Historical Baseline,1 Year LTV,Subscriber Health,Document,No description,Charles Cooper,kpi,claude_vibe_code_of_1_year_ltv,2026-05-04,44,No,No
22548205,"Matthew Murman's Notebook Apr 23, 2024",Ad Sales Revenue Report,Revenue & Finance,Review → Keep or Retire,Stale (1+ yr); No description; No dataset; Locked,Matthew Murman,Text,,2024-10-28,597,No,Yes
22625286,"Charles Cooper's Notebook Feb 1, 2025",2025 Content Goals,Content & Viewership,Review → Keep or Retire,Stale (1+ yr); No description; No dataset,Charles Cooper,Text,,2025-02-03,499,No,No
23043009,Position Based Signups & Cash - Display,Marketing - Display,Marketing,Keep,Locked,Matthew Murman,kpi,PROD | Marketing Channels,2026-06-02,15,Yes,Yes
23208110,Period Selector,Orphan,Subscriber Health,Retire,No description; Noise page; Orphan,Karen O'Brien,kpi,PROD | Subscription Period Agg,2026-05-30,18,No,No
23707125,Impressions - YoY,Social Media - Post Performance,Social & Editorial,Review → Keep or Retire,Stale (1+ yr); No description; Locked; Duplicate title,Charles Cooper,kpi,Social Media Post Metrics,2025-02-05,497,No,Yes
24194991,"Charles Cooper's Notebook Oct 23, 2023",Social Media - Profile Performance Report,Social & Editorial,Review → Retire,Very stale (2+ yrs); No description; No dataset,Charles Cooper,Text,,2023-10-23,968,No,No
24266385,ECA,Murman Sandbox,Revenue & Finance,Retire,Stale (1+ yr); No description; Duplicate title; Noise page,Matthew Murman,kpi,PROD | ECA Agg,2025-03-28,446,No,No
24383265,Event Planning Status for Paid Media,Shared,Marketing,Triage,Very stale (2+ yrs); No description; Shared/root,,kpi,PROD | Event Agg - Salesforce,2024-06-11,736,No,No
25363687,(Dynamic) Renewal Rate,Churn/Renewal,Subscriber Health,Document,No description; Locked,Matthew Murman,kpi,PROD | Subscription Period Agg,2025-08-18,303,No,Yes
25541129,Hockey - Last 7 Days Engagement Rate,2026 Studio Shows Goal,Content & Viewership,Document,No description,Charles Cooper,kpi,raw_sprout_youtube_rolling_engagement_rates,2025-07-13,339,No,No
25692538,Annual Eligible Renewal Base,Yearly (All Periods),Subscriber Health,Merge,Duplicate title,Karen O'Brien,kpi,PROD I Sub Period Agg - Capped,2026-05-30,18,Yes,No
26418733,Duplicate of Renewal Cash vs Plan,Orphan,Subscriber Health,Retire,Very stale (2+ yrs); No description; Locked; Noise page; Orphan,Charles Cooper,kpi,"PROD | Monthly Plan, Goals - 2023",2023-06-19,1094,No,Yes
26994130,Hours Streamed,DRAFT - Content Video Added Metrics,Content & Viewership,Retire,Very stale (2+ yrs); No description; Locked; Noise page,Charles Cooper,kpi,PROD | Content Agg,2023-06-19,1094,No,Yes
27007715,Posts (Ranked by Engagements) - Comparison Time Period,Social Media Pacing,Subscriber Health,Merge,No description; Duplicate title,Charles Cooper,kpi,Social Media Post Metrics,2026-04-01,77,No,No
27401790,CPMs by Demand Channel,Ad Sales Reporting - Diligence Request,Ad Sales,Document,No description,Charles Cooper,kpi,raw_gam_spring_granular,2026-03-20,89,No,No
27449946,Revenue,Shared,Revenue & Finance,Triage,Stale (1+ yr); No description; Locked; Duplicate title; Shared/root,Matthew Murman,kpi,"PROD | Ad Impressions, Revenue",2024-10-28,597,No,Yes
27678099,RAQ Pipeline Deals (Monthly),Attribution Forecast Dashboard,Revenue & Finance,Review → Retire,Very stale (2+ yrs); No description,Adair Lyden,kpi,PROD | Event Agg - Salesforce,2023-09-05,1016,No,No
27835597,All Pre-Funnel Signups,Produced Content Funnel Analysis,Acquisition & Funnel,Review → Keep or Retire,Stale (1+ yr); No description,Charles Cooper,kpi,DEP | Funnel Agg,2025-03-11,463,No,No
27935359,Impressions,Total Viewership,Content & Viewership,Review → Retire,Very stale (2+ yrs); No description; Duplicate title,Charles Cooper,kpi,Social Media Post Metrics,2024-06-05,742,No,No
27990260,Duplicate of Last week vs 2 weeks before last,WIP - Year-Over-Year,Content & Viewership,Retire,Stale (1+ yr); No description; Noise page,LJ Helbig,kpi,PROD | Stream Agg,2025-01-04,529,No,No
28010823,Attributes - Distinct Grand Total,Resonate Data (CB),Partnerships,Document,No description,,kpi,FED | Gen Pop,2025-07-28,324,No,No
28064315,Planning to Production Data Entry,Operations Planning,Product & Tech,Review → Retire,Very stale (2+ yrs); Locked,Matthew Murman,kpi,PROD | Event Agg - Salesforce,2023-05-17,1127,Yes,Yes
28195176,PROD | AHL 2025-26 Sub Tracker,2025-26 AHL Subs,Subscriber Health,Document,No description,Charles Cooper,kpi,PROD | AHL 2025-26 Sub Tracker,2026-01-16,152,No,No
28858140,Social Media Post Metrics for GPT,Cooper's Graveyard,Social & Editorial,Retire,Stale (1+ yr); No description; Noise page,Charles Cooper,kpi,Social Media Post Metrics,2025-05-07,406,No,No
29511078,Wallet Type Breakdown,Signups,Acquisition & Funnel,Keep,,Matthew Williams,kpi,PROD | Attribution,2026-04-01,77,Yes,No
29740555,Production Estimated Actuals for Accruals,Shared,Product & Tech,Triage,No description; Shared/root,Charles Cooper,kpi,PROD | Event Agg - Salesforce,2026-04-21,57,No,No
30478445,Estimated GAAP Revenue by Month on Payments Received,Financial Report,Revenue & Finance,Merge,No description; Duplicate title,Matthew Murman,kpi,PROD | Revenue Recognition,2026-04-29,49,No,No
30853938,MileSplit PVs by Page Type - Live Results Not Included,Milesplit - Signups and PVs,Acquisition & Funnel,Review → Retire,Very stale (2+ yrs); No description,Charles Cooper,kpi,PROD | Fact Activity,2024-04-24,784,No,No
30900767,Failed Logins,Domo - Stats Activity Log App,Product & Tech,Review → Retire,Very stale (2+ yrs),,kpi,DomoStats | Activity Log,2023-05-15,1129,Yes,No
31378508,JB First 12 Months Calc,Overview,Subscriber Health,Review → Keep or Retire,Stale (1+ yr); No description,,kpi,PROD | Dim Subscription,2024-10-24,601,No,No
31456481,Iterable Waves,Sam's Sandbox,Marketing,Retire,Stale (1+ yr); No description; Duplicate title; Noise page,,kpi,PROD | Email Iterable Waves,2025-02-21,481,No,No
32131989,2023 Film Series Attrition Analysis,FloFilms Series Deep Dive,Content & Viewership,Review → Retire,Very stale (2+ yrs); No description,Charles Cooper,kpi,DEP_2023 Film Series Attrition Analysis,2024-01-25,874,No,No
32160028,Monthly -- Estimated Incrementality,Orphan,Subscriber Health,Retire,No description; Duplicate title; Noise page; Orphan,Charles Cooper,kpi,PROD | Pricing Changes Renewals,2026-03-05,104,No,No
32981222,Monthly Eligible Renewal Base,Monthly (All Periods),Subscriber Health,Merge,Duplicate title,Karen O'Brien,kpi,PROD I Sub Period Agg - Capped,2026-05-30,18,Yes,No
33454240,Yearly Cohorts,Overview,Revenue & Finance,Review → Retire,Very stale (2+ yrs); No description; Duplicate title,Charles Cooper,kpi,DEP_finance_subs,2023-07-20,1063,No,No
34060318,Duplicate of Attribution Breakdown,DEP - Signups with Event Filters,Acquisition & Funnel,Retire,Stale (1+ yr); No description; Duplicate title; Noise page,,kpi,PROD | Attribution,2024-10-24,601,No,No
34611778,Overall Satisfaction (Unweighted),Voice of the Customer Dashboard,Customer Success,Keep,,Charles Boehmig,kpi,FED | Qualtrics v2,2025-11-05,224,Yes,No
35390342,Likelihood to Recommend,Global Partner Survey Dashboard (PSAT),Partnerships,Review → Keep or Retire,Stale (1+ yr),Charles Boehmig,kpi,FED | PSAT Survey Data,2025-06-03,379,Yes,No
35697832,% to Y2 Renewal Rate Forecast,DEP - Exec Dashboard - 2025,Revenue & Finance,Retire,No description; Duplicate title; Noise page,Matthew Murman,kpi,PROD | Forecast Agg - 2026 - CEO,2026-02-04,133,No,No
36299443,Y1 Reactivated Renewals,Y1,Subscriber Health,Merge,Duplicate title,Karen O'Brien,kpi,PROD | Subscription Period Agg,2026-05-29,19,Yes,No
36589173,Non Booked - Streamlit,POC - Budget Summary,Revenue & Finance,Review → Keep or Retire,Stale (1+ yr); No description,Charles Cooper,kpi,POC | SOT with ECA,2025-02-21,481,No,No
36723588,Where FloSports Excels,Global Partner Survey Dashboard (PSAT),Partnerships,Review → Keep or Retire,Stale (1+ yr),Charles Boehmig,kpi,FED | PSAT Survey Data,2025-06-03,379,Yes,No
36834373,Dynamic Top 25,Top 25 Events (Historical),Unmapped,Review → Retire,Very stale (2+ yrs); No description; Locked,Matthew Murman,kpi,PROD | Event Agg,2024-03-26,813,No,Yes
37031284,Video CPMs,Ad Sales Reporting - MTD,Content & Viewership,Document,No description,Charles Cooper,kpi,raw_gam_spring_granular,2026-06-01,16,No,No
37980945,Period over Period,Content KPIs - By Custom Date Range,Subscriber Health,Review → Keep or Retire,Stale (1+ yr); No description; Duplicate title,Charles Cooper,kpi,PROD | Content Agg,2024-06-30,717,No,No
38160732,Net Followers - Facebook,Social Media - Profile Performance Report,Social & Editorial,Review → Retire,Very stale (2+ yrs); No description,Charles Cooper,kpi,RAW Sprout Social,2023-10-23,968,No,No
38447365,By Video,Varsity - Cheer VOD Rev Share,Content & Viewership,Document,No description,Matthew Murman,kpi,PROD | Attribution,2026-06-03,14,No,No
38547801,Non-Booked Deal Pipeline (NEW - Uses CY Forecasts),Attribution Forecast Dashboard,Revenue & Finance,Review → Keep or Retire,Stale (1+ yr); No description,Adair Lyden,kpi,PROD | RAQ Budget Approval,2024-12-16,548,No,No
39055610,Average Content Health,DEP - DomoStats DataSets and DataFlows App,Domo Admin,Retire,Very stale (2+ yrs); Locked; Duplicate title; Noise page,,kpi,DomoStats - Average Health Score,2023-07-20,1063,Yes,Yes
39096898,Studio Show - Site Episodes,SCRATCH WORK CC - Studio Shows Reporting,Content & Viewership,Retire,Stale (1+ yr); No description; Noise page,Charles Cooper,kpi,PROD | Content Agg,2025-02-04,498,No,No
39274351,Trailing 12 Months - Milesplit MAU,MileSplit Uniques by State,Audience & Traffic,Review → Retire,Very stale (2+ yrs); No description,Charles Cooper,kpi,DEP Milesplit Uniques by State Site,2024-05-31,747,No,No
39839112,Q3,2025 Content Goals,Content & Viewership,Review → Keep or Retire,Stale (1+ yr); No description; Duplicate title,Charles Cooper,kpi,PROD | 2025 Content Goals,2025-01-10,523,No,No
40116773,Verticals Streamed: First 30 Days of Subscription Time,DEP - Onboarding - First 30 Days Activity,Subscriber Health,Retire,Stale (1+ yr); No description; Noise page,,kpi,DEP | New User Agg,2025-04-21,422,No,No
40284440,Programmatic Ads Last Week,GM Weekly Scorecard,Revenue & Finance,Document,No description,Charles Cooper,kpi,View of GM Scorecard Ads,2025-12-15,184,No,No
40963578,'- Total Cash - Forecast,Exec Dashboard - 2026,Revenue & Finance,Merge,No description; Duplicate title,Matthew Murman,kpi,PROD | Forecast Agg - 2026 - SLT,2026-02-06,131,No,No
41501187,FloHockey Views by Platform,FAST Live Event Viewership,Content & Viewership,Document,No description,Trevor Smith,kpi,2026 FAST Viewership by Event Pivoted for Charts,2026-06-07,10,No,No
41521919,Wrestling Self Streaming Signups by Week,Wrestling SMS,Acquisition & Funnel,Document,No description,Daniel Everett,kpi,PROD | Event Agg Enumerated,2026-05-29,19,No,No
41729212,Duplicate of THE FUNNEL (with Event Name),Sam's Dashboard (taken from Angela),Acquisition & Funnel,Retire,Stale (1+ yr); Noise page,Sam Puri,kpi,DEP | Funnel Agg,2025-03-11,463,Yes,No
43691230,"Matthew Murman's Notebook Sep 28, 2023",Operations Reports,Operations,Review → Keep or Retire,Stale (1+ yr); No description; No dataset; Locked,Matthew Murman,Text,,2024-10-28,597,No,Yes
43704801,Duplicate of Subscription LTV,Copy of Rights Deep Dive,Subscriber Health,Retire,Very stale (2+ yrs); No description; Duplicate title; Noise page,Travis Peter,kpi,PROD | Dim Subscription,2024-02-19,849,No,No
43806111,2024 Plan request Rights Signups by Month,Joe's Cards,Acquisition & Funnel,Retire,Stale (1+ yr); No description; Noise page,,kpi,PROD | Event Agg,2024-10-24,601,No,No
43886198,"Charles Cooper's Notebook Jul 19, 2024",Total Views TEST,Content & Viewership,Retire,No description; No dataset; Duplicate title; Noise page,Karen O'Brien,Text,,2025-10-31,229,No,No
44204270,Smartphone Engagement Times,Racing Segmentation Resonate Data Demographics,Partnerships,Merge,No description; Duplicate title,,kpi,FED | Gen Pop,2025-07-28,324,No,No
44230597,Downtime %,FSM - Dashboard,Operations,Review → Keep or Retire,Stale (1+ yr); No description; Duplicate title,LJ Helbig,kpi,PROD | Stream Agg,2024-07-26,691,No,No
44317917,Projected Spending by Service - Table,Shared,Revenue & Finance,Triage,Stale (1+ yr); No description; Shared/root,,kpi,PROD | AWS GCP Spend Forecasting,2025-04-21,422,No,No
44916397,Saleforce Incidents,DEP WARNING - Live Streaming Performance,Content & Viewership,Retire,Stale (1+ yr); No description; Locked; Duplicate title; Noise page,Matthew Murman,kpi,PROD | Salesforce Incidents,2024-10-28,597,No,Yes
44935579,Live Ad Sales - YoY for Previous Week,Ad Sales - BI Report,Ad Sales,Review → Keep or Retire,Stale (1+ yr); No description,Charles Cooper,kpi,PROD | Event Agg,2024-09-16,639,No,No
45013678,28 Day Users by Week,Overview,Unmapped,Review → Keep or Retire,Stale (1+ yr); No description; Locked,,kpi,PROD | GA Metrics,2025-04-21,422,No,Yes
45494875,Partner -,MileSplit Referral Traffic,Social & Editorial,Review → Retire,Very stale (2+ yrs); No description,Charles Cooper,kpi,DEP - MIlesSplit Uniques by Referral,2024-05-10,768,No,No
45725206,Hours of Videos Posted - FloSites/Apps,DRAFT - Content Video Added Metrics,Content & Viewership,Retire,Very stale (2+ yrs); No description; Locked; Noise page,Charles Cooper,kpi,Content Videos with Duration,2023-06-19,1094,No,Yes
46485811,Underlying Data,Overview,Revenue & Finance,Merge,No description; Duplicate title,Andy Wager,kpi,PROD | Forecast Agg - 2026 - SLT,2026-05-04,44,No,No
46837139,Live Viewership (by event start date),DEP - HockeyTV League Attribution,Partnerships,Retire,Very stale (2+ yrs); No description; Locked; Noise page,Matthew Murman,kpi,RAW_hockeytv_viewership,2023-05-17,1127,No,Yes
47420241,"Matthew Bartholomew's Notebook Jul 11, 2023",2024 VOD Value Explorer,Content & Viewership,Review → Keep or Retire,Stale (1+ yr); No description; No dataset,,Text,,2025-04-21,422,No,No
47628418,Rights Contract Signups,DEP - Sergio's Sandbox,Marketing,Retire,Very stale (2+ yrs); No description; Noise page,,kpi,PROD | Marketing Channels,2024-04-01,807,No,No
48043961,College Only - Saleforce Incidents,College Review,Operations,Document,No description,LJ Helbig,kpi,PROD | Salesforce Incidents,2026-05-18,30,No,No
48215036,Channel Attribution Signups (Alt),Marketing Channels (Alt),Marketing,Review → Keep or Retire,Stale (1+ yr); No description,Matthew Murman,kpi,PROD | Marketing Channels Alt,2025-05-16,397,No,No
48565020,Rights Forecast Close Date - Jan '26,Monthly KPI Sheet,Revenue & Finance,Document,No description,Charles Cooper,kpi,RAW_contract_forecast_log_flat,2026-02-11,126,No,No
50943732,Pay Page Users by Is Returning Sub,Funnel v3,Acquisition & Funnel,Document,No description,Matthew Murman,kpi,PROD | Funnel V3,2026-01-16,152,No,No
51437676,Social Monetization: Progress to Goal,Overview,Social & Editorial,Review → Keep or Retire,Stale (1+ yr); No description; Locked,,kpi,RAW Social Media Goals,2025-04-21,422,No,Yes
51471944,Rights Forecast Close Date - July '25,Monthly KPI Sheet,Revenue & Finance,Document,No description,Charles Cooper,kpi,RAW_contract_forecast_log_flat,2025-08-07,314,No,No
52201030,Daily Revenue - (FB),Social Media Monetization,Social & Editorial,Review → Retire,Very stale (2+ yrs); No description,Charles Cooper,kpi,Daily and Bonus Social Revenue Reports,2024-05-13,765,No,No
52291733,FinOps Event Viewership | Monthly,Matthew Williams' Sandbox,Content & Viewership,Retire,Stale (1+ yr); No description; Noise page,Matthew Williams,kpi,FinOps Event Viewership | Monthly,2025-06-09,373,No,No
52325167,Mins by Platform,2024 FloFilms Comps,Content & Viewership,Review → Retire,Very stale (2+ yrs); No description,Charles Cooper,kpi,PROD | Content Agg,2024-06-05,742,No,No
52540104,Viewership Curve by Time from Publish,2024 VOD Value Explorer,Content & Viewership,Review → Keep or Retire,Stale (1+ yr); No description,,kpi,PROD | Content Agg,2025-04-21,422,No,No
52871103,Content Visits by Ref Type,Content - Referral,Audience & Traffic,Review → Retire,Very stale (2+ yrs); No description; Duplicate title,Charles Cooper,kpi,Content Visits,2023-10-18,973,No,No
53699219,Dynamic Aggregation - Youbora Metrics,FSM - Yesterday's Metrics,Operations,Review → Retire,Very stale (2+ yrs); No description; Duplicate title,LJ Helbig,kpi,PROD | Viewer Agg,2024-06-05,742,No,No
54040721,Event Table of Contents,November 2023 KPIs,Content & Viewership,Review → Retire,Very stale (2+ yrs); No description; Duplicate title,Charles Cooper,kpi,PROD | Event Agg,2023-12-19,911,No,No
55179754,⤵️ Prior Year Total Funnel > Marketing Channel - Prior Year,Milesplit - Funnel,Marketing,Review → Retire,Very stale (2+ yrs); No description,Charles Cooper,kpi,PROD |MileSplit Funnel,2024-03-08,831,No,No
55451151,PROD | Event Agg,Cooper's Graveyard,Unmapped,Retire,Stale (1+ yr); No description; Duplicate title; Noise page,Charles Cooper,kpi,PROD | Event Agg,2025-05-08,405,No,No
55567032,Reacquired - UTM Signups,2024 AHL Tracking,Acquisition & Funnel,Review → Keep or Retire,Stale (1+ yr); No description,Charles Cooper,kpi,Prod | 2024 AHL Tracking,2024-10-17,608,No,No
57225272,"General CVR, Cash, Yearly % - Treatment Only",iOS Reader App,Product & Tech,Review → Keep or Retire,Stale (1+ yr); No description; Locked,Matthew Murman,kpi,RAW_ios_reader_app,2024-10-28,597,No,Yes
57609311,Streaming Incident Resolution Time by Type,FSM - Dashboard,Operations,Merge,Duplicate title,Matthew Miller,kpi,PROD | Rootly Incidents,2026-01-01,167,Yes,No
